doc/bookname,doc/authors,doc/publisher,doc/publication_year/0,doc/isbn13,doc/set_isbn13,doc/bookImageURL,doc/addition_symbol,doc/vol,doc/class_no,doc/book_count,doc/loan_count,doc/reg_date
불황이지만 돈을 불리고 있습니다:어떤 상황에서도 벌 수 있는 '재테크 기초체력' 만들기,달시기;월천대사 [공]지음,매경출판,2019,9791155425824,,https://image.aladin.co.kr/product/18748/45/cover/k502635171_1.jpg,0,,327.8,1,7,2019-06-29
"(한 권으로 그리는)컴퓨터과학 로드맵:알고리즘, 데이터 구조, 데이터베이스, 컴퓨터 구조, 프로그래밍 원리",블라드스톤 페헤이라 필루 지음;박연오 옮김,인사이트,2018,9788966262199,,http://image.aladin.co.kr/product/14104/21/cover/8966262198_1.jpg,1,,4,1,6,2019-06-29
연필로 쓰기:김훈 산문,김훈 지음,문학동네,2019,9788954655699,,https://image.aladin.co.kr/product/18655/53/cover/8954655696_2.jpg,0,,814.6,1,6,2019-06-29
리얼 라이즈:T.M. 로건 장편소설,T.M. 로건 지음;이수영 옮김,Arte(북이십일 아르테),2018,9788950976644,,https://bookthumb-phinf.pstatic.net/cover/139/503/13950313.jpg?type=m1&udate=20180824,0,,843,1,5,2019-06-29
빌러비드:토니 모리슨 장편소설,토니 모리슨 지음;최인자 옮김,문학동네,2018,9788954624398,9788954609012,http://image.aladin.co.kr/product/3890/33/cover/8954624391_1.jpg,0,,843,1,7,2019-06-29
에어프라이어 만능 레시피북:혁명의 조리도구 에어프라이어 200% 활용법,강지현 지음,메가스터디,2019,9791129703620,,https://image.aladin.co.kr/product/18005/87/cover/k282534633_1.jpg,1,,594.5,1,5,2019-06-29
(비밀이야의)맛있는 프랑스,배동렬 글ㆍ사진,BR미디어,2018,9788993508499,,https://image.aladin.co.kr/product/17322/97/cover/8993508496_1.jpg,1,,594.019,1,2,2019-06-29
디자이닝 브랜드 아이덴티티(제4판),앨리나 휠러 지음;이원제;최기원 [공]옮김,비즈앤비즈,2016,9788997716975,,http://image.aladin.co.kr/product/9749/64/cover/8997716972_1.jpg,9,,636.5,1,2,2019-06-29
칸쿤 홀리데이,주소은 글;한기호 사진,꿈의지도,2016,9791189469245,,https://image.aladin.co.kr/product/18025/13/cover/k932534841_1.jpg,1,,984.302,1,3,2019-06-29
당신은 아무 일 없던 사람보다 강합니다,김창옥 지음,수오서재,2019,9791187498056,,https://bookthumb-phinf.pstatic.net/cover/111/724/11172497.jpg?type=m1&udate=20180404,0,,325.04,1,5,2019-06-29
